givenName,sn,userPrincipalName,sAMAccountName,displayName,name/cn,OUName,password,pwdLastSet,userAccountControl
Test,User 1,测试员工1,测试员工1,Test Guy 1,Test Guy 1,"OU=Group_1_6,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 2,测试员工2,测试员工2,Test Guy 2,Test Guy 2,"OU=Group_2_1,OU=Group_1_1,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 3,测试员工3,测试员工3,Test Guy 3,Test Guy 3,"OU=Group_3_4,OU=Group_2_1,OU=Group_1_1,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 4,测试员工4,测试员工4,Test Guy 4,Test Guy 4,"OU=Group_3_5,OU=Group_2_1,OU=Group_1_1,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 5,测试员工5,测试员工5,Test Guy 5,Test Guy 5,"OU=Group_2_3,OU=Group_1_1,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 6,测试员工6,测试员工6,Test Guy 6,Test Guy 6,"OU=Group_4_3,OU=Group_3_1,OU=Group_2_1,OU=Group_1_1,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 7,测试员工7,测试员工7,Test Guy 7,Test Guy 7,"OU=Group_1_4,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 8,测试员工8,测试员工8,Test Guy 8,Test Guy 8,"OU=Group_3_3,OU=Group_2_1,OU=Group_1_1,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 9,测试员工9,测试员工9,Test Guy 9,Test Guy 9,"OU=Group_2_2,OU=Group_1_1,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 10,测试员工10,测试员工10,Test Guy 10,Test Guy 10,"OU=Group_1_3,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 11,测试员工11,测试员工11,Test Guy 11,Test Guy 11,"OU=Group_1_2,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 12,测试员工12,测试员工12,Test Guy 12,Test Guy 12,"OU=Group_1_5,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 13,测试员工13,测试员工13,Test Guy 13,Test Guy 13,"OU=Group_1_5,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 14,测试员工14,测试员工14,Test Guy 14,Test Guy 14,"OU=Group_2_3,OU=Group_1_1,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 15,测试员工15,测试员工15,Test Guy 15,Test Guy 15,"OU=Group_4_1,OU=Group_3_1,OU=Group_2_1,OU=Group_1_1,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 16,测试员工16,测试员工16,Test Guy 16,Test Guy 16,"OU=Group_1_10,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 17,测试员工17,测试员工17,Test Guy 17,Test Guy 17,"OU=Group_2_11,OU=Group_1_2,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 18,测试员工18,测试员工18,Test Guy 18,Test Guy 18,"OU=Group_1_6,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 19,测试员工19,测试员工19,Test Guy 19,Test Guy 19,"OU=Group_1_11,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 20,测试员工20,测试员工20,Test Guy 20,Test Guy 20,"OU=Group_4_3,OU=Group_3_1,OU=Group_2_1,OU=Group_1_1,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 21,测试员工21,测试员工21,Test Guy 21,Test Guy 21,"OU=Group_4_2,OU=Group_3_1,OU=Group_2_1,OU=Group_1_1,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 22,测试员工22,测试员工22,Test Guy 22,Test Guy 22,"OU=Group_3_1,OU=Group_2_1,OU=Group_1_1,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 23,测试员工23,测试员工23,Test Guy 23,Test Guy 23,"OU=Group_1_9,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 24,测试员工24,测试员工24,Test Guy 24,Test Guy 24,"OU=Group_3_2,OU=Group_2_1,OU=Group_1_1,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 25,测试员工25,测试员工25,Test Guy 25,Test Guy 25,"OU=Group_2_11,OU=Group_1_2,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 26,测试员工26,测试员工26,Test Guy 26,Test Guy 26,"OU=Group_1_7,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 27,测试员工27,测试员工27,Test Guy 27,Test Guy 27,"OU=Group_2_2,OU=Group_1_1,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 28,测试员工28,测试员工28,Test Guy 28,Test Guy 28,"OU=Group_1_3,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 29,测试员工29,测试员工29,Test Guy 29,Test Guy 29,"OU=Group_4_1,OU=Group_3_1,OU=Group_2_1,OU=Group_1_1,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 30,测试员工30,测试员工30,Test Guy 30,Test Guy 30,"OU=Group_4_3,OU=Group_3_1,OU=Group_2_1,OU=Group_1_1,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
Test,User 31,测试员工31,测试员工31,Test Guy 31,Test Guy 31,"OU=Group_2_2,OU=Group_1_1,OU=DMtest,DC=dfocus,DC=com",DFocus1234qwer,-1,65536
